id,name
1,Various Artists
4,Massive Attack
6,Apartment 26
7,Dr. Evil
9,Robert Miles
10,Vincent Gallo
11,Squirrel Nut Zippers
12,Giant Sand
15,Éric Serra
16,William S. Burroughs
17,Bob Dylan
18,10cc
20,Art of Noise
22,Bush
23,Tom Waits
25,Pavement
26,Meg Lee Chin
27,W
28,The Replacements
29,Stevie Wonder
30,The Stone Roses
31,Yo La Tengo
32,Liz Story
34,Rammstein
35,Cat Power
36,The Dismemberment Plan
37,Garbage
38,Hole
39,The Afghan Whigs
40,Alanis Morissette
41,Ani DiFranco
42,Beck
43,Beth Orton
44,Built to Spill
45,Cadallaca
46,Dusty Springfield
47,Elliott Smith
48,Helium
51,Le Tigre
53,Mary Timony
54,Nirvana
58,Solex
60,Tori Amos
62,Modest Mouse
65,Portishead
66,Radiohead
67,Rainer Maria
68,Sarge
69,Bile
70,Harold Faltermeyer
71,Phish
83,Frédéric Chopin
84,Cypress Hill
85,Madness
86,Qaballah Steppers
87,Steve Rossiter
88,Enya
89,Madonna
91,Bill Cosby
92,Yanni
93,Metallica
94,John Williams
96,Bangles
98,Burl Ives
99,Bing Crosby
101,Frank Sinatra
104,[Disney]
110,"Harry Connick, Jr."
111,Mariah Carey
116,Enigma
119,George Winston
121,The Chieftains
122,New Edition
123,Cliff Richard
125,Dan Fogelberg
127,James Taylor
129,Simon & Garfunkel
131,Styx
132,The Temptations
133,Wang Chung
136,Annie Lennox
138,Billy Joel
139,Céline Dion
141,Eurythmics
142,George Michael
143,Gloria Estefan
146,Janet Jackson
151,Phil Collins
153,Prince
154,Richard Marx
155,Savage Garden
156,Bryan Adams
158,The Cranberries
160,Tiffany
162,Wilson Phillips
163,2Pac
164,De La Soul
166,Ice Cube
171,MC Lyte
